Question_codes,Question_codes(pt),Question_text,Question_text(pt),Question_conversion,Category,Subcategory,Group,Subgroup,Base_unit,Row
1 - Q78,X1...Q78,"Dear,Thank you for taking the time to participate in our research. CMET is focusing on the microscopically small organisms that are omnipresent in our environment and even in our own body. To maximize the value of our tiny companions, we need your help!In 30 to 45 minutes of your valuable time we would like to get an idea about your lifestyle, health state and dietary habits in order to optimize preventive and therapeutic strategies to improve gut and overall health. Your contribution will enable us to personalize human gut microbiota research and besides completing the questionnaire, it will involve the donation of a faecal sample.Your participation does not entail any foreseeable risks. However, if you feel uncomfortable, you can withdraw from the survey at any point.This survey is in accordance with ethical approval issued by Ghent University Hospital. Instead of entering your name, we ask you to use a personal code. This code will be given to you and will only accessible by the researcher. As a result, your answers to the questionnaire are encoded and strictly confidential.If you have questions at any time about the survey or research, contact the CMET team at CMET.FFQ&#64;ugent.beThank you very much for your time and support. Please start with the survey now by clicking on the Next button below.","Dear,Thank.you.for.taking.the.time.to.participate.in.our.research..CMET.is.focusing.on.the.microscopically.small.organisms.that.are.omnipresent.in.our.environment.and.even.in.our.own.body..To.maximize.the.value.of.our.tiny.companions,.we.need.your.help!In.30.to.45.minutes.of.your.valuable.time.we.would.like.to.get.an.idea.about.your.lifestyle,.health.state.and.dietary.habits.in.order.to.optimize.preventive.and.therapeutic.strategies.to.improve.gut.and.overall.health..Your.contribution.will.enable.us.to.personalize.human.gut.microbiota.research.and.besides.completing.the.questionnaire,.it.will.involve.the.donation.of.a.faecal.sample.Your.participation.does.not.entail.any.foreseeable.risks..However,.if.you.feel.uncomfortable,.you.can.withdraw.from.the.survey.at.any.point.This.survey.is.in.accordance.with.ethical.approval.issued.by.Ghent.University.Hospital..Instead.of.entering.your.name,.we.ask.you.to.use.a.personal.code..This.code.will.be.given.to.you.and.will.only.accessible.by.the.researcher..As.a.result,.your.answers.to.the.questionnaire.are.encoded.and.strictly.confidential.If.you.have.questions.at.any.time.about.the.survey.or.research,.contact.the.CMET.team.at.CMET.FFQ&#64;ugent.beThank.you.very.much.for.your.time.and.support..Please.start.with.the.survey.now.by.clicking.on.the.Next button.below.",Welcome_message,General,Welcome_message,,,,
2 - Q71,X2...Q71,Name code (given by the researcher),Name.code.(given.by.the.researcher),Name_code,General,Name_code,,,,
2 - Q71,X2...Q71,Age,Age,Age,General,Age,,,,
2 - Q71,X2...Q71,Gender,Gender,Gender,General,Gender,,,,
2 - Q71,X2...Q71,Nationality,Nationality,Nationality,General,Nationality,,,,
2 - Q71,X2...Q71,Ethnicity,Ethnicity,Ethnicity,General,Ethnicity,,,,
2 - Q71,X2...Q71,Profession,Profession,Profession,General,Profession,,,,
2 - Q71,X2...Q71,Highest education degree,Highest.education.degree,Highest_education,General,Highest_education,,,,
2 - Q71,X2...Q71,Height,Height,Height,General,Height,,,,
2 - Q71,X2...Q71,Weight,Weight,Weight,General,Weight,,,,
3 - Q3,X3...Q3,How would you describe your general health? ,How.would.you.describe.your.general.health? ,Description_general_health? ,Health,General,,,,
4 - Q4,X4...Q4,How would you define the stress level in your life? ,How.would.you.define the stress.level.in.your.life? ,Description_stress_level,Health,Stress_level,,,,
5 - Q5,X5...Q5,Have you been sick recently? Please specify further.,Have.you.been.sick.recently?.Please.specify.further.,Recent_sickness,Health,Recent_sickness,,,,
6 - Q6,X6...Q6,Have you been taking antibiotics over the past year? Please specify further.,Have.you.been.taking.antibiotics over the.past year? Please.specify.further.,Antibiotics_usage,Health,Antibiotic_usage,,,,
7 - Q7,X7...Q7,Have you undergone surgery over the past year? Please specify further. ,Have.you undergone.surgery over the.past year? Please.specify.further. ,Surgery,Health,Surgery,,,,
8 - Q10,X8...Q10,Do you take any drugs/medicines? Please specify further.  ,Do.you.take.any.drugs/medicines?.Please.specify.further.  ,Drugs_medicines_usage,Health,Drugs_medicine_usage,,,,
9 - Q8,X9...Q8,Have you tested positive for COVID-19 or experienced flu-like symptoms over the past year? Please specify further.,Have you.tested.positive for.COVID-19 or experienced flu-like.symptoms over.the.past.year? Please.specify.further.,Positive_COVID_19_or_flu,Health,Positive_covid19_or_flu,,,,
10 - Q12 - Not applicable,X10...Q12...Not.applicable,Do you have any of the following heart diseases ? (Multiple answers are possible) - Not applicable,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Not.applicable,Heart_disease_Not_applicable,Health,Heart_disease,Not_applicable,,,
"10 - Q12 - Abnormal heart rhythms, or arrhythmias","X10...Q12...Abnormal.heart.rhythms,.or.arrhythmias","Do you have any of the following heart diseases ? (Multiple answers are possible) - Abnormal heart rhythms, or arrhythmias","Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Abnormal.heart.rhythms,.or.arrhythmias",Heart_disease_Arrhythmias,Health,Heart_disease,Arrhythmias,,,
10 - Q12 - Aorta disease and Marfan syndrome,X10...Q12...Aorta.disease.and.Marfan.syndrome,Do you have any of the following heart diseases ? (Multiple answers are possible) - Aorta disease and Marfan syndrome,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Aorta.disease.and.Marfan.syndrome,Heart_disease_Marfan_syndrome,Health,Heart_disease,Marfan_syndrome,,,
10 - Q12 - Blockage pertaining to the lungs (pulmonary embolism),X10...Q12...Blockage.pertaining.to.the.lungs.(pulmonary.embolism),Do you have any of the following heart diseases ? (Multiple answers are possible) - Blockage pertaining to the lungs (pulmonary embolism),Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Blockage.pertaining.to.the.lungs.(pulmonary.embolism),Heart_disease_Pulmonary_embolism,Health,Heart_disease,Pulmonary_embolism,,,
10 - Q12 - Blood vessel disease (Vascular disease),X10...Q12...Blood.vessel.disease.(Vascular.disease),Do you have any of the following heart diseases ? (Multiple answers are possible) - Blood vessel disease (Vascular disease),Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Blood.vessel.disease.(Vascular.disease),Heart_disease_Vascular_disease,Health,Heart_disease,Vascular_disease,,,
"10 - Q12 - Congenital heart disease, or congenital heart defect (CHD)","X10...Q12...Congenital.heart.disease,.or.congenital.heart.defect.(CHD)","Do you have any of the following heart diseases ? (Multiple answers are possible) - Congenital heart disease, or congenital heart defect (CHD)","Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Congenital.heart.disease,.or.congenital.heart.defect.(CHD)",Heart_disease_Congenital_heart_disease,Health,Heart_disease,Congenital_heart_disease,,,
10 - Q12 - Deep vein clotting (thrombosis),X10...Q12...Deep.vein.clotting.(thrombosis),Do you have any of the following heart diseases ? (Multiple answers are possible) - Deep vein clotting (thrombosis),Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Deep.vein.clotting.(thrombosis),Heart_disease_Thrombosis,Health,Heart_disease,Thrombosis,,,
10 - Q12 - Heart attack,X10...Q12...Heart.attack,Do you have any of the following heart diseases ? (Multiple answers are possible) - Heart attack,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Heart.attack,Heart_disease_Heart_attack,Health,Heart_disease,Heart_attack,,,
10 - Q12 - Heart failure,X10...Q12...Heart.failure,Do you have any of the following heart diseases ? (Multiple answers are possible) - Heart failure,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Heart.failure,Heart_disease_Heart_failure,Health,Heart_disease,Heart_failure,,,
10 - Q12 - Heart muscle disease (cardiomyopathy),X10...Q12...Heart.muscle.disease.(cardiomyopathy),Do you have any of the following heart diseases ? (Multiple answers are possible) - Heart muscle disease (cardiomyopathy),Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Heart.muscle.disease.(cardiomyopathy),Heart_disease_Cardiomyopathy,Health,Heart_disease,Cardiomyopathy,,,
10 - Q12 - Heart valve disease,X10...Q12...Heart.valve.disease,Do you have any of the following heart diseases ? (Multiple answers are possible) - Heart valve disease,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Heart.valve.disease,Heart_disease_Heart_valve_disease,Health,Heart_disease,Heart_valve_disease,,,
10 - Q12 - High blood pressure,X10...Q12...High.blood.pressure,Do you have any of the following heart diseases ? (Multiple answers are possible) - High blood pressure,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.High.blood.pressure,Heart_disease_High_blood_pressure,Health,Heart_disease,High_blood_pressure,,,
10 - Q12 - Narrowing of the arteries (coronary artery disease),X10...Q12...Narrowing.of.the.arteries.(coronary.artery.disease),Do you have any of the following heart diseases ? (Multiple answers are possible) - Narrowing of the arteries (coronary artery disease),Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Narrowing.of.the.arteries.(coronary.artery.disease),Heart_disease_Coronary_artery_disease,Health,Heart_disease,Coronary_artery_disease,,,
10 - Q12 - Pericardial disease,X10...Q12...Pericardial.disease,Do you have any of the following heart diseases ? (Multiple answers are possible) - Pericardial disease,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Pericardial.disease,Heart_disease_Pericardial_disease,Health,Heart_disease,Pericardial_disease,,,
10 - Q12 - Peripheral vascular disease,X10...Q12...Peripheral.vascular.disease,Do you have any of the following heart diseases ? (Multiple answers are possible) - Peripheral vascular disease,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Peripheral.vascular.disease,Heart_disease_Peripheral_vascular_disease,Health,Heart_disease,Peripheral_vascular_disease,,,
10 - Q12 - Rheumatic heart disease,X10...Q12...Rheumatic.heart.disease,Do you have any of the following heart diseases ? (Multiple answers are possible) - Rheumatic heart disease,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Rheumatic.heart.disease,Heart_disease_Rheumatic_heart_disease,Health,Heart_disease,Rheumatic_heart_disease,,,
10 - Q12 - Stroke,X10...Q12...Stroke,Do you have any of the following heart diseases ? (Multiple answers are possible) - Stroke,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Stroke,Heart_disease_Stroke,Health,Heart_disease,Stroke,,,
10 - Q12 - Other,X10...Q12...Other,Do you have any of the following heart diseases ? (Multiple answers are possible) - Other,Do.you.have.any.of.the.following.heart.diseases.?.(Multiple.answers.are.possible).-.Other,Heart_disease_Other,Health,Heart_disease,Other,,,
11 - Q12 - Not applicable,X11...Q12...Not.applicable,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Not applicable,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Not.applicable,Metabolic_disorders_Not_applicable,Health,Metabolic_disorders,Not_applicable,,,
11 - Q12 - Decreased red blood cells due to lack or iron (iron deficiency anaemia),X11...Q12...Decreased.red.blood.cells.due.to.lack.or.iron.(iron.deficiency.anaemia),Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Decreased red blood cells due to lack or iron (iron deficiency anaemia),Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Decreased.red.blood.cells.due.to.lack.or.iron.(iron.deficiency.anaemia),Metabolic_disorders_Iron_deficiency_anaemia,Health,Metabolic_disorders,Iron_deficiency_anaemia,,,
11 - Q12 - Familial high cholesterol (hypercholesterolemia),X11...Q12...Familial.high.cholesterol.(hypercholesterolemia),Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Familial high cholesterol (hypercholesterolemia),Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Familial.high.cholesterol.(hypercholesterolemia),Metabolic_disorders_Hypercholesterolemia,Health,Metabolic_disorders,Hypercholesterolemia,,,
11 - Q12 - Gaucher disease,X11...Q12...Gaucher.disease,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Gaucher disease,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Gaucher.disease,Metabolic_disorders_Gaucher_disease,Health,Metabolic_disorders,Gaucher_disease,,,
11 - Q12 - High cholesterol,X11...Q12...High.cholesterol,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - High cholesterol,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.High.cholesterol,Metabolic_disorders_High_cholesterol,Health,Metabolic_disorders,High_cholesterol,,,
11 - Q12 - High triglycerides,X11...Q12...High.triglycerides,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - High triglycerides,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.High.triglycerides,Metabolic_disorders_High_triglycerides,Health,Metabolic_disorders,High_triglycerides,,,
11 - Q12 - Hunter syndrome or mucopolysaccaridosis type II (MPS II),X11...Q12...Hunter.syndrome.or.mucopolysaccaridosis.type.II.(MPS.II),Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Hunter syndrome or mucopolysaccaridosis type II (MPS II),Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Hunter.syndrome.or.mucopolysaccaridosis.type.II.(MPS.II),Metabolic_disorders_Hunter_syndrome,Health,Metabolic_disorders,Hunter_syndrome,,,
11 - Q12 - Krabbe disease or globoid cell leukodystrophy (GALC deficiency),X11...Q12...Krabbe.disease.or.globoid.cell.leukodystrophy.(GALC.deficiency),Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Krabbe disease or globoid cell leukodystrophy (GALC deficiency),Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Krabbe.disease.or.globoid.cell.leukodystrophy.(GALC.deficiency),Metabolic_disorders_Krabbe_disease,Health,Metabolic_disorders,Krabbe_disease,,,
11 - Q12 - Maple syrup urine disease (MSUD),X11...Q12...Maple.syrup.urine.disease.(MSUD),Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Maple syrup urine disease (MSUD),Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Maple.syrup.urine.disease.(MSUD),Metabolic_disorders_Maple_syrup_urine_disease,Health,Metabolic_disorders,Maple_syrup_urine,,,
11 - Q12 - Metabolic syndrome,X11...Q12...Metabolic.syndrome,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Metabolic syndrome,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Metabolic.syndrome,Metabolic_disorders_Metabolic_syndrome,Health,Metabolic_disorders,Metabolic_syndrome,,,
11 - Q12 - Metachromatic leukodystrophy (MLD),X11...Q12...Metachromatic.leukodystrophy.(MLD),Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Metachromatic leukodystrophy (MLD),Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Metachromatic.leukodystrophy.(MLD),Metabolic_disorders_Metachromatic_leukodystrophy,Health,Metabolic_disorders,Metachromatic_leukodystrophy,,,
"11 - Q12 - Mitochondrial encephalopathy, lactic acidosis, stroke-like episodes (MELAS)","X11...Q12...Mitochondrial.encephalopathy,.lactic.acidosis,.stroke.like.episodes.(MELAS)","Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Mitochondrial encephalopathy, lactic acidosis, stroke-like episodes (MELAS)","Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Mitochondrial.encephalopathy,.lactic.acidosis,.stroke-like.episodes.(MELAS)",Metabolic_disorders_Mitochondrial_encephalopathy,Health,Metabolic_disorders,Mitochondrial_encephalopathy,,,
11 - Q12 - Niemann-Pick disease,X11...Q12...Niemann.Pick.disease,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Niemann-Pick disease,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Niemann-Pick.disease,Metabolic_disorders_Niemann_Pick_disease,Health,Metabolic_disorders,Niemann_Pick_disease,,,
11 - Q12 - Phenylketonuria (PKU),X11...Q12...Phenylketonuria.(PKU),Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Phenylketonuria (PKU),Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Phenylketonuria.(PKU),Metabolic_disorders_Phenylketonuria,Health,Metabolic_disorders,Phenylketonuria,,,
11 - Q12 - Porphyria,X11...Q12...Porphyria,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Porphyria,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Porphyria,Metabolic_disorders_Porphyria,Health,Metabolic_disorders,Porphyria,,,
11 - Q12 - Tay-Sachs disease,X11...Q12...Tay.Sachs.disease,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Tay-Sachs disease,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Tay-Sachs.disease,Metabolic_disorders_Tay_Sachs_disease,Health,Metabolic_disorders,Tay_Sachs_disease,,,
"11 - Q12 - Type 1 diabetes, insulin dependent ","X11...Q12...Type.1.diabetes,.insulin.dependent.","Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Type 1 diabetes, insulin dependent ","Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Type.1.diabetes,.insulin.dependent.",Metabolic_disorders_Type_1_diabetes,Health,Metabolic_disorders,Type_1_diabetes,,,
"11 - Q12 - Type 2 diabetes, insulin independent","X11...Q12...Type.2.diabetes,.insulin.independent","Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Type 2 diabetes, insulin independent","Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Type.2.diabetes,.insulin.independent",Metabolic_disorders_Type_2_diabetes,Health,Metabolic_disorders,Type_2_diabetes,,,
11 - Q12 - Wilson&#39;s disease,X11...Q12...Wilson&#39;s.disease,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Wilson&#39;s disease,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Wilson&#39;s.disease,Metabolic_disorders_Wilsons_disease,Health,Metabolic_disorders,Wilsons_disease,,,
11 - Q12 - Other,X11...Q12...Other,Do you have any of the following metabolic disorders ? (Multiple answers are possible) - Other,Do.you.have.any.of.the.following.metabolic.disorders.?.(Multiple.answers.are.possible).-.Other,Metabolic_disorders_Other,Health,Metabolic_disorders,Other,,,
12 - Q12-C12 - Not applicable,X12...Q12.C12...Not.applicable,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Not applicable,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Not.applicable,Gastrointestinal_disorders_Not_applicable,Health,Gastrointestinal_disorders,Not_applicable,,,
12 - Q12-C12 - Barrett&#39;s oesophagus syndrome ,X12...Q12.C12...Barrett&#39;s.oesophagus.syndrome.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Barrett&#39;s oesophagus syndrome ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Barrett&#39;s.oesophagus.syndrome.,Gastrointestinal_disorders_Barretts_oesophagus_syndrome,Health,Gastrointestinal_disorders,Barretts_oesophagus_syndrome,,,
12 - Q12-C12 - Celiac disease ,X12...Q12.C12...Celiac.disease.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Celiac disease ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Celiac.disease.,Gastrointestinal_disorders_Celiac_disease,Health,Gastrointestinal_disorders,Vascular_disease,,,
12 - Q12-C12 - Cholangitis or other bile-related disease  ,X12...Q12.C12...Cholangitis.or.other.bile.related.disease..,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Cholangitis or other bile-related disease  ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Cholangitis.or.other.bile-related.disease..,Gastrointestinal_disorders_Cholangitis,Health,Gastrointestinal_disorders,Cholangitis,,,
12 - Q12-C12 - Clostridium difficile infection ,X12...Q12.C12...Clostridium.difficile.infection.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Clostridium difficile infection ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Clostridium.difficile.infection.,Gastrointestinal_disorders_Clostridium_difficile_infection,Health,Gastrointestinal_disorders,Clostridium_difficile_infection,,,
12 - Q12-C12 - Crohn’s Disease ,X12...Q12.C12...Crohn’s.Disease.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Crohn’s Disease ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Crohn’s.Disease.,Gastrointestinal_disorders_Crohn’s_Disease,Health,Gastrointestinal_disorders,Crohn’s_Disease,,,
12 - Q12-C12 - Heartburn/reflux  ,X12...Q12.C12...Heartburn/reflux..,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Heartburn/reflux  ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Heartburn/reflux..,Gastrointestinal_disorders_Heartburn/reflux,Health,Gastrointestinal_disorders,Heartburn/reflux,,,
12 - Q12-C12 - Helicobacter pylori infection  ,X12...Q12.C12...Helicobacter.pylori.infection..,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Helicobacter pylori infection  ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Helicobacter.pylori.infection..,Gastrointestinal_disorders_Helicobacter_pylori_infection,Health,Gastrointestinal_disorders,Helicobacter_pylori_infection,,,
12 - Q12-C12 - Indigestion or upset stomach (dyspepsia)  ,X12...Q12.C12...Indigestion.or.upset.stomach.(dyspepsia)..,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Indigestion or upset stomach (dyspepsia)  ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Indigestion.or.upset.stomach.(dyspepsia)..,Gastrointestinal_disorders_Dyspepsia,Health,Gastrointestinal_disorders,Dyspepsia,,,
12 - Q12-C12 - Inflammation of the lining of the stomach (Gastritis) ,X12...Q12.C12...Inflammation.of.the.lining.of.the.stomach.(Gastritis).,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Inflammation of the lining of the stomach (Gastritis) ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Inflammation.of.the.lining.of.the.stomach.(Gastritis).,Gastrointestinal_disorders_Gastritis,Health,Gastrointestinal_disorders,Gastritis,,,
12 - Q12-C12 - Inflammatory bowel disease ,X12...Q12.C12...Inflammatory.bowel.disease.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Inflammatory bowel disease ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Inflammatory.bowel.disease.,Gastrointestinal_disorders_Inflammatory_bowel_disease,Health,Gastrointestinal_disorders,Inflammatory_bowel_disease,,,
12 - Q12-C12 - Irritable bowel syndrome ,X12...Q12.C12...Irritable.bowel.syndrome.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Irritable bowel syndrome ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Irritable.bowel.syndrome.,Gastrointestinal_disorders_Irritable_bowel_syndrome,Health,Gastrointestinal_disorders,Irritable_bowel_syndrome,,,
12 - Q12-C12 - Multiple uninflamed pouches in the colon (diverticulosis)  ,X12...Q12.C12...Multiple.uninflamed.pouches.in.the.colon.(diverticulosis)..,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Multiple uninflamed pouches in the colon (diverticulosis)  ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Multiple.uninflamed.pouches.in.the.colon.(diverticulosis)..,Gastrointestinal_disorders_Diverticulosis,Health,Gastrointestinal_disorders,Diverticulosis,,,
12 - Q12-C12 - Pancreatic disease/s ,X12...Q12.C12...Pancreatic.disease/s.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Pancreatic disease/s ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Pancreatic.disease/s.,Gastrointestinal_disorders_Pancreatic_diseases,Health,Gastrointestinal_disorders,Pancreatic_diseases,,,
12 - Q12-C12 - Recurrent episodes of diarrhoea ,X12...Q12.C12...Recurrent.episodes.of.diarrhoea.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Recurrent episodes of diarrhoea ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Recurrent.episodes.of.diarrhoea.,Gastrointestinal_disorders_Recurrent_episodes_of_diarrhoea,Health,Gastrointestinal_disorders,Recurrent_episodes_of+diarrhoea,,,
12 - Q12-C12 - Small intestinal bacterial overgrowth  ,X12...Q12.C12...Small.intestinal.bacterial.overgrowth..,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Small intestinal bacterial overgrowth  ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Small.intestinal.bacterial.overgrowth..,Gastrointestinal_disorders_Small_intestinal_bacterial_overgrowth,Health,Gastrointestinal_disorders,Small_intestinal_bacterial_overgrowth,,,
12 - Q12-C12 - Stomach/duodenal ulcer ,X12...Q12.C12...Stomach/duodenal.ulcer.,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Stomach/duodenal ulcer ,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Stomach/duodenal.ulcer.,Gastrointestinal_disorders_Stomach_or_duodenal_ulcer,Health,Gastrointestinal_disorders,Stomach_or_duodenal_ulcer,,,
